Local Authority,LLD_SD_ActualCases_wk46,LLD_SD_ActualMortalities_wk46 ,LLD_SD_ForecastCases_wk51,LLD_SD_ForecastMortalities_wk51,FLD_ForecastCases_wk51,FLD_ForecastMortality_wk51  ,LLD_SD_ForecastCases_wk51_Retail50Pct,LLD_SD_ForecastCases_wk51_FoodAccom50Pct,LLD_SD_ForecastCases_wk51_pub50Pct,LLD_SD_ForecastCases_wk51_quarantine100Pct,LLD_SD_ForecastCases_wk51_SchoolOpen50Pct,LLD_SD_ForecastCases_wk51_IntTravel50Pct
Leeds ,1801,17,1881,21,499,17,907,911,888,925,875,804
Sheffield,948,36,1784,32,275,14,672,670,637,618,614,527
Birmingham,1957,35,1627,25,537,17,793,791,774,791,763,733
Wigan,759,34,1554,24,346,10,602,605,603,518,576,534
Manchester,1067,13,1550,20,427,13,848,840,821,506,794,715
Bradford,1534,24,1549,20,722,17,973,946,968,979,960,890
Stockport ,517,13,1529,17,218,7,625,626,616,543,604,546
Liverpool,750,29,1509,22,234,8,717,715,676,626,647,549
Rotherham,561,20,1448,22,257,7,693,690,676,580,668,606
Kingston upon Hull,1011,21,1368,18,584,12,951,949,935,864,924,854
Oldham,735,15,1336,17,509,11,865,868,856,781,839,789
Wirral,311,13,1324,19,65,4,462,469,458,383,438,375
Bolton,635,18,1299,17,447,11,854,855,838,756,837,763
Bristol,763,8,1296,14,444,13,888,889,867,849,850,766
Tameside,447,18,1288,20,255,7,668,671,656,546,642,587
County Durham,1161,23,1252,26,377,7,622,628,619,566,588,550
Derby ,537,11,1234,15,335,8,806,798,782,713,767,681
Walsall,605,15,1233,21,288,7,836,798,772,675,764,690
Kirklees,1292,25,1207,29,557,14,836,844,840,801,822,761
Leicester ,1006,7,993,15,581,11,1071,1064,1038,1016,1030,939
Sandwell,762,21,969,25,398,10,868,865,845,764,828,755
