areaType,areaName,areaCode,date,newOnsDeathsByRegistrationDate,cumOnsDeathsByRegistrationDate
nation,England,E92000001,2020-10-09,401,50309
nation,England,E92000001,2020-10-02,296,49908
nation,England,E92000001,2020-09-25,203,49612
nation,England,E92000001,2020-09-18,134,49409
nation,England,E92000001,2020-09-11,97,49275
nation,England,E92000001,2020-09-04,74,49178
nation,England,E92000001,2020-08-28,97,49104
nation,England,E92000001,2020-08-21,126,49007
nation,England,E92000001,2020-08-14,125,48881
nation,England,E92000001,2020-08-07,128,48756
nation,England,E92000001,2020-07-31,183,48628
nation,England,E92000001,2020-07-24,209,48445
nation,England,E92000001,2020-07-17,284,48236
nation,England,E92000001,2020-07-10,344,47952
nation,England,E92000001,2020-07-03,497,47608
nation,England,E92000001,2020-06-26,574,47111
nation,England,E92000001,2020-06-19,744,46537
nation,England,E92000001,2020-06-12,1057,45793
nation,England,E92000001,2020-06-05,1488,44736
nation,England,E92000001,2020-05-29,1715,43248
nation,England,E92000001,2020-05-22,2455,41533
nation,England,E92000001,2020-05-15,3624,39078
nation,England,E92000001,2020-05-08,3716,35454
nation,England,E92000001,2020-05-01,5748,31738
nation,England,E92000001,2020-04-24,7806,25990
nation,England,E92000001,2020-04-17,8335,18184
nation,England,E92000001,2020-04-10,5899,9849
nation,England,E92000001,2020-04-03,3330,3950
nation,England,E92000001,2020-03-27,515,620
nation,England,E92000001,2020-03-20,100,105
nation,England,E92000001,2020-03-13,5,5
nation,England,E92000001,2020-03-06,0,0
nation,England,E92000001,2020-02-28,0,0
nation,England,E92000001,2020-02-21,0,0
nation,England,E92000001,2020-02-14,0,0
nation,England,E92000001,2020-02-07,0,0
nation,England,E92000001,2020-01-31,0,0
nation,England,E92000001,2020-01-24,0,0
nation,England,E92000001,2020-01-17,0,0
nation,England,E92000001,2020-01-10,0,0
nation,England,E92000001,2020-01-03,0,0
