unformatWeeks,Month ,week_2020,weekDate,Year,LockdownScore,QuarantineMeasures,TravelSpainEstimate,School_Opening,,
wk_05,Jan,25 Jan - 31 Jan,31/01/2020,2020,1,1,1.403898262,3,,
wk_06,Feb,1 Feb - 7 Feb,07/02/2020,2020,1,1,1.66,3,,
wk_07,Feb,8 Feb - 14 Feb,14/02/2020,2020,1,1,1.66,3,,
wk_08,Feb,15 Feb - 21 Feb,21/02/2020,2020,1,1,1.66,3,,
wk_09,Feb,22 Feb - 28 Feb,28/02/2020,2020,1,1,1.66,3,,
wk_10,Mar,29 Feb - 6 Mar,06/03/2020,2020,1,1,0.641473514,3,,
wk_11,Mar,7 Mar - 13 Mar,13/03/2020,2020,1,1,0.641473514,3,,
wk_12,Mar,14 Mar - 20 Mar,20/03/2020,2020,1,1,0.641473514,3,,
wk_13,Mar,21 Mar - 27 Mar,27/03/2020,2020,10,1,0.641473514,3,,
wk_14,Apr,28 Mar - 3 Apr,03/04/2020,2020,10,1,0,3,,
wk_15,Apr,4 Apr - 10 Apr ,10/04/2020,2020,10,1,0,1.5,,
wk_16,Apr,11 Apr - 17 Apr ,17/04/2020,2020,10,1,0,1.5,,
wk_17,Apr,18 Apr - 24 Apr,24/04/2020,2020,10,1,0,1.5,,
wk_18,May,25 Apr - 1 May,01/05/2020,2020,10,1,0.030237809,1.5,,
wk_19,May,2 May - 8 May ,08/05/2020,2020,10,1,0.030237809,1.5,,
wk_20,May,9 May - 15 May,15/05/2020,2020,10,1,0.030237809,1.5,,
wk_21,May,16 May - 22 May,22/05/2020,2020,10,1,0.030237809,1.5,,
wk_22,May,23 May - 29 May,29/05/2020,2020,10,10,0.030237809,1.5,,
wk_23,June,30 May - 5 June ,05/06/2020,2020,4,10,0.323976522,1.5,,
wk_24,June,6 June - 12 June ,12/06/2020,2020,4,10,0.323976522,3,,
wk_25,June,13 June - 19 June,19/06/2020,2020,4,10,0.323976522,3,,
wk_26,June,20 June - 26 June,26/06/2020,2020,4,10,0.323976522,3,,
wk_27,July,27 June - 3 July,03/07/2020,2020,4,10,1.431976227,3,,
wk_28,July,4 July - 10 July ,10/07/2020,2020,4,5,1.431976227,3,,
wk_29,July,11 July - 17 July,17/07/2020,2020,4,5,1.431976227,3,,
wk_30,July,18 July - 24 July,24/07/2020,2020,4,5,1.431976227,3,,
wk_31,July,25 July - 31 July,31/07/2020,2020,4,5.5,1.431976227,3,,-2.833333333
wk_32,Aug,1 Aug - 7 Aug,07/08/2020,2020,4,5.5,1.519762272,3,,
wk_33,Aug,8 Aug - 14 Aug,14/08/2020,2020,4,5.5,1.519762272,3,,
wk_34,Aug,15 Aug - 21 Aug,21/08/2020,2020,4,5.5,1.519762272,3,,
wk_35,Aug,22 Aug - 28 Aug,28/08/2020,2020,4,5.5,1.619762272,3,,
wk_36,Sept,29 Aug - 4 Sept  ,04/09/2020,2020,4,5.5,1.619762272,3,,
wk_37,Sept,5 Sept - 11 Sept ,11/09/2020,2020,5,5.5,1.619762272,3,,
wk_38,Sept,12 Sept - 18 Sept,18/09/2020,2020,5,5.5,1.619762272,3,,
wk_39,Sept,19 Sept - 25 Sept,25/09/2020,2020,5,5.5,1.619762272,3,,
wk_40,Oct,26 Sept - 2 Oct,02/10/2020,2020,5,5.5,1.7,3,,
wk_41,Oct,3 Oct - 9 Oct,09/10/2020,2020,5,5.5,1.7,3,,
